aakkosellinen	الفبایی
ajorata	بجاده ، راه ، معبر ، طریق ، خیابان ، راه اهن, سواره رو ، وسط خیابان ، زمین جاده
ajosuunta	جهت ، سو ، هدایت, راه ، جاده ، طریق ، سبک (سابک) ، طرز ، طریقه
ajotie	سواره رو ، وسط خیابان ، زمین جاده
ajuri	محرک ، راننده, کامیون ران ، راننده یک جفت حیوان یا دستگاه اسب ودرشکه
akateeminen	مربوط به فرهنگستان ادبی یا انجمن علمی ، عضو فرهنگستان ، طرفدار حکمت و فلسفه افلا طون, عضو فرهنگستان ، عضو انجمن دانش ، عضو اکادمی
akka	عجوزه ، ساحره ، مه سفید ، حصار
akku	انباشتگر, باطری
akkuna	پنجره ، روزنه ، ویترین ، دریچه ، پنجره دار کردن
akseli	محور ، قطب ، محور تقارن ، مهره اسه, محور ، چرخ ، میله ، اسه, محور ، مدار ، میله ، پاشنه ، مخور چرخ ، عضو موثر ,محور اصلی کار ، نقطه اتکاء ، روی چیزی چرخیدن ، روی پاشنه گشتن ، چرخیدن ، چرخاندن ، روی پاشنه چرخیدن, میله ، استوانه ، بدنه ، چوبه ، قلم ، سابقه ، دسته ، چوب ، تیر ، پرتو ، چاه ، دودکش ، بادکش ، نیزه ، خدنگ ، گلوله ، ستون ، تیرانداختن ، پرتو افکندن, دوک ، دوک نخ ریسی ، هرچیزی شبیه دوک ، دسته کوک ساعت ، رقاصک ساعت ، بشکل دوک درامدن ، دراز و باریک شدن
aksiooma	اصل ، اصل موضوعه
aktiivinen	کاری ، ساعی ، فعال ، حاضر بخدمت ، دایر ، تنزل بردار ، با ربح ، معلوم ، متعدی ، مولد ، کنش ور ، کنش گر
aktinium	پیشوندی است برابر -اد لا تین که قبل ازث و ق به اینصورت در می اید مثل (ACcept) که از (ADceptare) گرفته شده است ، و نیز پسوندی است لا تینی یا یونانی معادل ءع- مانند (maniac) ، مخفف اصطلا ح شیمیایی الءثیثلء ثمی باشد
ala	مساحت ، فضا ، ناحیه, میدان ، رشته ، پایکار, پیشه ، حرفه ، شغل ، اقرار ، اعتراف ، حرفه یی ، پیشگانی ، پیشه کار, سوداگری ، بازرگانی ، تجارت ، داد وستد ، کسب ، پیشه وری ,کاسبی ، مسیر ، شغل ، حرفه ، پیشه ، امد ورفت ، سفر ، ازار ,مزاحمت ، مبادله کالا ، تجارت کردن با ، داد وستد کردن
ala-	پایین اوردن ، تخفیف دادن ، کاستن از ، تنزل دادن ، فروکش کردن ، خفیف کردن ، پست تر ، پایین تر ، :اخم ، عبوس ، ترشرویی ، هوای گرفته وابری ، اخم کردن
ala-aste	مدرسه ابتدایی
alaikinen	نوجوان ، در خور جوانی ، ویژه نو جوانان
alainen	مستخدم ، کارگر ، مستخدم زن ، کارمند, تابع ، مادون ، مرءوس
alakerta	طبقه پایین ، واقع در طبقه زیر
alam ki	سرازیری ، سرپایینی ، نشیب ، انحطاط
alamaailma	راه اهن زیر زمینی ، تشکیلا ت محرمانه و زیرزمینی ، واقع در زیرزمین ، زیر زمین
alankomaat	کشور هلند ، هلندی
alaosa	پایه ، مبنا ، پایگاه, پا ، قدم ، پاچه ، دامنه ، فوت (مقیاس طول انگلیسی معادل 21 اینچ) ، هجای شعری ، پایکوبی کردن ، پازدن ، پرداختن مخارج
alap	ته ، پایین ، تحتانی
alapuolella	درزیر ، پایین ، مادون, زیر ، پایین ، در زیر ، از زیر ، پایین تر از ، روی خاک ، کوچکتر ، پست تر ، زیرین ، پایینی ، پایین تر ، تحتانی ، تحت نفوذ ، تحت فشار, زیر ، درزیر ، تحت ، پایین تراز ، کمتر از ، تحت تسلط ، مخفی در زیر ، کسری دار ، کسر ، زیرین
alaraja	کران پایین
alas	پر دراوردن جوجه پرندگان ، پرهای ریزی که برای متکا بکار میرود ، کرک ، کرک صورت پایین ، سوی پایین ، بطرف پایین ، زیر ، بزیر ، دلتنگ ، غمگین ، پیش قسط
alaspin	پر دراوردن جوجه پرندگان ، پرهای ریزی که برای متکا بکار میرود ، کرک ، کرک صورت پایین ، سوی پایین ، بطرف پایین ، زیر ، بزیر ، دلتنگ ، غمگین ، پیش قسط
alaston	بحالت طبیعی ، ساده و بدون چاشنی, لخت ، عریان ، ساده ، اشکار ، عاری ، برهنه کردن ، اشکارکردن, برهنه ، عریان ، عادی ، لخت, لخت ، برهنه ، پوچ ، عریان ، بی اثر
alemmuus	پستی ، مادونی
alempi	پست ، نا مرغوب ، پایین رتبه ، فرعی ، درجه دوم, پایین اوردن ، تخفیف دادن ، کاستن از ، تنزل دادن ، فروکش کردن ، خفیف کردن ، پست تر ، پایین تر ، :اخم ، عبوس ، ترشرویی ، هوای گرفته وابری ، اخم کردن, واقع در پایین ، در زیر ، زیر ، پایین ، واقع در زیر, زیر ، درزیر ، تحت ، پایین تراز ، کمتر از ، تحت تسلط ، مخفی در زیر ، کسری دار ، کسر ، زیرین
alempi kerros	سفره ، لا یه, زیر لا یه ، طبقه زیر ، بنیاد ، پی ، طبقه زیر
alennus	کاستن ، کاهش, تنزل, تنزل رتبه, تخفیف ، نزول ، کاستن ، تخفیف دادن ، برات را نزول کردن, تحقیر ، احساس حقارت, تقلیل ، کاهش ، ساده سازی, فروش ، حراج
alennushinta	سودا ، معامله ، داد و ستد ، چانه زدن ، قرارداد معامله ، خرید ارزان (باا) ، چانه زدن ، قرارداد معامله بستن, تنزل قیمت ، ارزان
alentaa	پست کردن ، تحقیرنمودن ، کم ارزش کردن, دست انداز جاده ، ضربت ، ضربت حاصله دراثر تکان سخت ، برامدگی ، تکان سخت (در هواپیماو غیره) ، تکان ناگهانی ، ضربت (توام باتکان) زدن, کاستن ، کاهش, پست کردن ، خفت دادن ، تنزل رتبه دادن ، منحط کردن, تنزل رتبه دادن ، کسر مقام یافتن, کم شدن ، نقصان یافتن ، تقلیل یافتن, کم ارزش کردن ، دست کم گرفتن, پست کردن ، تحقیر کردن ، اهانت کردن به, پایین اوردن ، تخفیف دادن ، کاستن از ، تنزل دادن ، فروکش کردن ، خفیف کردن ، پست تر ، پایین تر ، :اخم ، عبوس ، ترشرویی ، هوای گرفته وابری ، اخم کردن, تنزل قیمت ، پایین اوردن قیمت, کم کردن ، کاستن (از) ، تنزل دادن ، فتح کردن ، استحاله کردن ، مطیع کردن, انداختن ، موکول کردن ، محول کردن ، واگذار کردن ، منتسب کردن, چاک دادن ، خیلی کم کردن ، نشان ممیز
alentaa arvoa	کم بها کردن ، مستهلک کردن
alentaa hintaa	تنزل قیمت ، پایین اوردن قیمت
alentua	تمکین کردن ، فروتنی کردن ، خود را پست کردن ، تواضع کردن, پایین امدن ، فرود امدن ، نزول کردن, غروب کردن ، غرق شدن ، روی کاغذ امدن ، پایین رفتن, چاهک ، فرو رفتن ، فروبردن, دولا شدن ، خم شدن ، سرفرود اوردن ، خمیدگی ، تمکین ، خشوع کردن
aleta	پایین امدن ، فرود امدن ، نزول کردن, غروب کردن ، غرق شدن ، روی کاغذ امدن ، پایین رفتن, چاهک ، فرو رفتن ، فروبردن
aleta arvossa	کم بها کردن ، مستهلک کردن, تنزل قیمت دادن ، از ارزش و شخصیت کسی کاستن, کمتر از ارزش واقعی تخمین زدن
alfa	حرف اول الفبای یونانی ، اغاز ، شروع ، ستاره ء اول
algebra	جبر ، جبر و مقابله
algebrallinen	جبری
algoritmi	الگوریتم
alhaalla	درزیر ، پایین ، مادون, پر دراوردن جوجه پرندگان ، پرهای ریزی که برای متکا بکار میرود ، کرک ، کرک صورت پایین ، سوی پایین ، بطرف پایین ، زیر ، بزیر ، دلتنگ ، غمگین ، پیش قسط
alhaalta	درزیر ، پایین ، مادون
alhainen	پایه ، مبنا ، پایگاه, عمومی ، معمولی ، متعارفی ، عادی ، مشترک ، پیش پاافتاده ، پست ، عوامانه ، : مردم عوام ، عمومی ، مشارکت کردن ، مشاع بودن ، مشترکا استفاده کردن, قابل تحقیر ، خوار ، پست, زبون ، فروتن ، متواضع ، محقر ، پست ، بدون ارتفاع ، پست کردن ، فروتنی کردن ، شکسته نفسی کردن, صدای گاو ، مع مع کردن ، : پست ، کوتاه ، دون ، فرومایه ، پایین ، اهسته ، پست ومبتذل ، سربزیر ، فروتن ، افتاده ، کم ، اندک ، خفیف ، مشتعل شدن ، زبانه کشیدن, خوار ، دون ، پست ، صغیر ، افتاده ، فروتن ، بی ادب ، بطورپست, میانه ، متوسط ، وسطی ، واقع دروسط ، حد وسط ، متوسط ، میانه روی ، اعتدال ، منابع درامد ، عایدی ، پست فطرت ، بدجنس ، اب زیرکاه ، قصد داشتن ، مقصود داشتن ، هدف داشتن ، معنی ومفهوم خاصی داشتن ، معنی دادن ، میانگین, پست ، فرومایه ، فاسد ، بداخلا ق ، شرم اور ، زننده
ali	زیر ، درزیر ، تحت ، پایین تراز ، کمتر از ، تحت تسلط ، مخفی در زیر ، کسری دار ، کسر ، زیرین
aliarvioida	ناچیز پنداشتن ، دست کم گرفتن ، تخمین کم, چیزی را کمتر از قیمت واقعی نرخ گذاشتن ، ناچیز شمردن ، دست کم گرفتن, کمتر از ارزش واقعی تخمین زدن
aliarviointi	سبک شماری سهل گیری ، ناچیز شماری, تقویم یاارزیابی کمتر از میزان واقعی ، کم ارزش گذار
alibi	غیبت هنگام وقوع جرم ، جای دیگر ، بهانه ، عذر ، بهانه اوردن ، عذر خواستن, بهانه ، دستاویز ، عذر ، معذور داشتن ، معاف کردن ، معذرت خواستن ، تبرءه کردن
alikehittynyt	کم پیشرفت ، رشد کافی نیافته ، عقب افتاده
alikersantti	گروهبان
alin	خیلی پست تر ، پایین تر ، پایین ترین ، اسفل, کمترین ، دست کم ، حداقل ، کمینه ، کهین
alin parveke	اشکوب کوتاه ، نیم اشکوب که میان دو طبقه ساختمان واقع باشد ، نیم اشکوب
alinomaa	همواره ، همیشه ، پیوسته ، همه وقت
alistaa	پیروزی یافتن بر ، فتح کردن ، تسخیر کردن, زنجیر ، بازداشت ، جلوگیری ، لبه پیاده رو ، محدود کردن ,دارای دیواره یا حایل کردن ، تحت کنترل دراوردن ، فرونشاندن, چیره شدن ، حکمفرما بودن ، تسلط داشتن ، تفوق یافتن, باز داشتن و نهی کردن ، منع کردن ، مانع شدن ، از بروز احساسات جلوگیری کردن, تحت انقیاد در اوردن ، مطیع کردن ، منکوب کردن, تابع ، مادون ، مرءوس, موقوف کردن
alistamaton	رام نشده ، سوقان گیری نشده ، مسلسل ، ناشکسته
alisteinen	تابع ، مادون ، مرءوس, زیر ، درزیر ، تحت ، پایین تراز ، کمتر از ، تحت تسلط ، مخفی در زیر ، کسری دار ، کسر ، زیرین
alistua	ترک گقتن ، واگذارکردن ، تسلیم شدن ، رهاکردن ، تبعیدکردن ، واگذاری ، رهاسازی ، بی خیالی, عقب انداختن ، بتعویق انداختن ، تاخیرکردن ، تسلیم شدن ، احترام گذاردن, تسلیم شدن, منصرف شدن ، ول کردن ، ترک کردن ، تسلیم کردن ، دست برداشتن از, انکار کردن ، سرزنش یا متهم کردن, مستعفی شدن ، کناره گرفتن ، تفویض کردن ، استعفا دادن از ، دست کشیدن, تسلیم کردن ، اراءه دادن ، تسلیم شدن, واگذار کردن ، سپردن ، رهاکردن ، تسلیم شدن ، تحویل دادن ، تسلیم ، واگذاری ، صرفنظر, چاپلوسی کردن ، با چرخ کوچک مخصوص غلتاندن ، چرخ, ثمر دادن ، واگذارکردن ، ارزانی داشتن ، بازده ، محصول ، حاصل ، تسلیم کردن یا شدن
